"","Entity","Code","Day","restrictions_internal_movements"
"213","Mexico","MEX","2020-07-31",2
"214","Mexico","MEX","2020-08-01",2
"215","Mexico","MEX","2020-08-02",2
"216","Mexico","MEX","2020-08-03",2
"217","Mexico","MEX","2020-08-04",2
"218","Mexico","MEX","2020-08-05",2
"219","Mexico","MEX","2020-08-06",2
"220","Mexico","MEX","2020-08-07",2
"221","Mexico","MEX","2020-08-08",2
"222","Mexico","MEX","2020-08-09",2
"223","Mexico","MEX","2020-08-10",2
"224","Mexico","MEX","2020-08-11",2
"225","Mexico","MEX","2020-08-12",2
"226","Mexico","MEX","2020-08-13",2
"227","Mexico","MEX","2020-08-14",2
"228","Mexico","MEX","2020-08-15",2
"229","Mexico","MEX","2020-08-16",2
"230","Mexico","MEX","2020-08-17",2
"231","Mexico","MEX","2020-08-18",2
"232","Mexico","MEX","2020-08-19",2
"233","Mexico","MEX","2020-08-20",2
"234","Mexico","MEX","2020-08-21",2
"235","Mexico","MEX","2020-08-22",2
"236","Mexico","MEX","2020-08-23",2
"237","Mexico","MEX","2020-08-24",2
"238","Mexico","MEX","2020-08-25",2
"239","Mexico","MEX","2020-08-26",2
"240","Mexico","MEX","2020-08-27",2
"241","Mexico","MEX","2020-08-28",2
"242","Mexico","MEX","2020-08-29",2
"243","Mexico","MEX","2020-08-30",2
"244","Mexico","MEX","2020-08-31",2
"245","Mexico","MEX","2020-09-01",2
"246","Mexico","MEX","2020-09-02",2
"247","Mexico","MEX","2020-09-03",2
"248","Mexico","MEX","2020-09-04",2
"249","Mexico","MEX","2020-09-05",2
"250","Mexico","MEX","2020-09-06",2
"251","Mexico","MEX","2020-09-07",2
"252","Mexico","MEX","2020-09-08",2
"253","Mexico","MEX","2020-09-09",2
"254","Mexico","MEX","2020-09-10",2
"255","Mexico","MEX","2020-09-11",2
"256","Mexico","MEX","2020-09-12",2
"257","Mexico","MEX","2020-09-13",2
"258","Mexico","MEX","2020-09-14",2
"259","Mexico","MEX","2020-09-15",2
"260","Mexico","MEX","2020-09-16",2
"261","Mexico","MEX","2020-09-17",2
"262","Mexico","MEX","2020-09-18",2
"263","Mexico","MEX","2020-09-19",2
"264","Mexico","MEX","2020-09-20",2
"265","Mexico","MEX","2020-09-21",2
"266","Mexico","MEX","2020-09-22",2
"267","Mexico","MEX","2020-09-23",2
"268","Mexico","MEX","2020-09-24",2
"269","Mexico","MEX","2020-09-25",2
"270","Mexico","MEX","2020-09-26",2
"271","Mexico","MEX","2020-09-27",2
"272","Mexico","MEX","2020-09-28",2
"273","Mexico","MEX","2020-09-29",2
"274","Mexico","MEX","2020-09-30",2
"275","Mexico","MEX","2020-10-01",2
"276","Mexico","MEX","2020-10-02",2
"277","Mexico","MEX","2020-10-03",2
"278","Mexico","MEX","2020-10-04",2
"279","Mexico","MEX","2020-10-05",2
"280","Mexico","MEX","2020-10-06",2
"281","Mexico","MEX","2020-10-07",2
"282","Mexico","MEX","2020-10-08",2
"283","Mexico","MEX","2020-10-09",2
"284","Mexico","MEX","2020-10-10",2
"285","Mexico","MEX","2020-10-11",2
"286","Mexico","MEX","2020-10-12",2
"287","Mexico","MEX","2020-10-13",2
"288","Mexico","MEX","2020-10-14",2
"289","Mexico","MEX","2020-10-15",2
"290","Mexico","MEX","2020-10-16",2
"291","Mexico","MEX","2020-10-17",2
"292","Mexico","MEX","2020-10-18",2
"293","Mexico","MEX","2020-10-19",2
"294","Mexico","MEX","2020-10-20",2
"295","Mexico","MEX","2020-10-21",2
"296","Mexico","MEX","2020-10-22",2
"297","Mexico","MEX","2020-10-23",2
"298","Mexico","MEX","2020-10-24",2
"299","Mexico","MEX","2020-10-25",2
"300","Mexico","MEX","2020-10-26",2
"301","Mexico","MEX","2020-10-27",2
"302","Mexico","MEX","2020-10-28",2
"303","Mexico","MEX","2020-10-29",2
"304","Mexico","MEX","2020-10-30",2
"305","Mexico","MEX","2020-10-31",2
"306","Mexico","MEX","2020-11-01",2
"307","Mexico","MEX","2020-11-02",2
"308","Mexico","MEX","2020-11-03",2
"309","Mexico","MEX","2020-11-04",2
"310","Mexico","MEX","2020-11-05",2
"311","Mexico","MEX","2020-11-06",2
"312","Mexico","MEX","2020-11-07",2
"313","Mexico","MEX","2020-11-08",2
"314","Mexico","MEX","2020-11-09",2
"315","Mexico","MEX","2020-11-10",2
"316","Mexico","MEX","2020-11-11",2
"317","Mexico","MEX","2020-11-12",2
"318","Mexico","MEX","2020-11-13",2
"319","Mexico","MEX","2020-11-14",2
"320","Mexico","MEX","2020-11-15",2
"321","Mexico","MEX","2020-11-16",2
"322","Mexico","MEX","2020-11-17",2
"323","Mexico","MEX","2020-11-18",2
"324","Mexico","MEX","2020-11-19",2
"325","Mexico","MEX","2020-11-20",2
"326","Mexico","MEX","2020-11-21",2
"327","Mexico","MEX","2020-11-22",2
"328","Mexico","MEX","2020-11-23",2
"329","Mexico","MEX","2020-11-24",2
"330","Mexico","MEX","2020-11-25",2
"331","Mexico","MEX","2020-11-26",2
"332","Mexico","MEX","2020-11-27",2
"333","Mexico","MEX","2020-11-28",2
"334","Mexico","MEX","2020-11-29",2
"335","Mexico","MEX","2020-11-30",2
"336","Mexico","MEX","2020-12-01",2
"337","Mexico","MEX","2020-12-02",2
"338","Mexico","MEX","2020-12-03",2
"339","Mexico","MEX","2020-12-04",2
"340","Mexico","MEX","2020-12-05",2
"341","Mexico","MEX","2020-12-06",2
"342","Mexico","MEX","2020-12-07",2
"343","Mexico","MEX","2020-12-08",2
"344","Mexico","MEX","2020-12-09",2
"345","Mexico","MEX","2020-12-10",2
"346","Mexico","MEX","2020-12-11",2
"347","Mexico","MEX","2020-12-12",2
"348","Mexico","MEX","2020-12-13",2
"349","Mexico","MEX","2020-12-14",2
"350","Mexico","MEX","2020-12-15",2
"351","Mexico","MEX","2020-12-16",2
"352","Mexico","MEX","2020-12-17",2
"353","Mexico","MEX","2020-12-18",2
"354","Mexico","MEX","2020-12-19",2
"355","Mexico","MEX","2020-12-20",2
"356","Mexico","MEX","2020-12-21",2
"357","Mexico","MEX","2020-12-22",2
"358","Mexico","MEX","2020-12-23",2
"359","Mexico","MEX","2020-12-24",2
"360","Mexico","MEX","2020-12-25",2
"361","Mexico","MEX","2020-12-26",2
"362","Mexico","MEX","2020-12-27",2
"363","Mexico","MEX","2020-12-28",2
"364","Mexico","MEX","2020-12-29",2
"365","Mexico","MEX","2020-12-30",2
"366","Mexico","MEX","2020-12-31",2
"367","Mexico","MEX","2021-01-01",2
"368","Mexico","MEX","2021-01-02",2
"369","Mexico","MEX","2021-01-03",2
"370","Mexico","MEX","2021-01-04",2
"371","Mexico","MEX","2021-01-05",2
"372","Mexico","MEX","2021-01-06",2
"373","Mexico","MEX","2021-01-07",2
"374","Mexico","MEX","2021-01-08",2
"375","Mexico","MEX","2021-01-09",2
"376","Mexico","MEX","2021-01-10",2
"377","Mexico","MEX","2021-01-11",2
"378","Mexico","MEX","2021-01-12",2
"379","Mexico","MEX","2021-01-13",2
"380","Mexico","MEX","2021-01-14",2
"381","Mexico","MEX","2021-01-15",2
"382","Mexico","MEX","2021-01-16",2
"383","Mexico","MEX","2021-01-17",2
"384","Mexico","MEX","2021-01-18",2
"385","Mexico","MEX","2021-01-19",2
"386","Mexico","MEX","2021-01-20",2
"387","Mexico","MEX","2021-01-21",2
"388","Mexico","MEX","2021-01-22",2
"389","Mexico","MEX","2021-01-23",2
"390","Mexico","MEX","2021-01-24",2
"391","Mexico","MEX","2021-01-25",2
"392","Mexico","MEX","2021-01-26",2
"393","Mexico","MEX","2021-01-27",2
"394","Mexico","MEX","2021-01-28",2
"395","Mexico","MEX","2021-01-29",2
"396","Mexico","MEX","2021-01-30",2
"397","Mexico","MEX","2021-01-31",2
"398","Mexico","MEX","2021-02-01",2
"399","Mexico","MEX","2021-02-02",2
"400","Mexico","MEX","2021-02-03",2
"401","Mexico","MEX","2021-02-04",2
"402","Mexico","MEX","2021-02-05",2
"403","Mexico","MEX","2021-02-06",2
"404","Mexico","MEX","2021-02-07",2
"405","Mexico","MEX","2021-02-08",2
"406","Mexico","MEX","2021-02-09",2
"407","Mexico","MEX","2021-02-10",2
"408","Mexico","MEX","2021-02-11",2
"409","Mexico","MEX","2021-02-12",2
"410","Mexico","MEX","2021-02-13",2
"411","Mexico","MEX","2021-02-14",2
"412","Mexico","MEX","2021-02-15",2
"413","Mexico","MEX","2021-02-16",2
"414","Mexico","MEX","2021-02-17",2
"415","Mexico","MEX","2021-02-18",2
"416","Mexico","MEX","2021-02-19",2
"417","Mexico","MEX","2021-02-20",2
"418","Mexico","MEX","2021-02-21",2
"419","Mexico","MEX","2021-02-22",2
"420","Mexico","MEX","2021-02-23",2
"421","Mexico","MEX","2021-02-24",2
"422","Mexico","MEX","2021-02-25",2
"423","Mexico","MEX","2021-02-26",2
"424","Mexico","MEX","2021-02-27",2
"425","Mexico","MEX","2021-02-28",2
"426","Mexico","MEX","2021-03-01",2
"427","Mexico","MEX","2021-03-02",2
"428","Mexico","MEX","2021-03-03",2
"429","Mexico","MEX","2021-03-04",2
"430","Mexico","MEX","2021-03-05",2
"431","Mexico","MEX","2021-03-06",2
"432","Mexico","MEX","2021-03-07",2
"433","Mexico","MEX","2021-03-08",2
"434","Mexico","MEX","2021-03-09",2
"435","Mexico","MEX","2021-03-10",2
